"INSTRUMENT TYPE 
","SYMBOL 
","EXPIRY DATE 
","OPTION TYPE 
","STRIKE PRICE 
","LTP 
","%CHNG 
","VOLUME 
(Contracts)","VALUE* 
(₹ Lakhs)","OPEN INTEREST 
(Contracts)","VALUE OF UNDERLYING 
"
"Index Options","NIFTY","23-Jun-2026","Put","24,100.00","77.80","-51.77","27,03,286","2,21,065.27","1,04,080","24,168.00"
"Index Options","NIFTY","23-Jun-2026","Put","24,000.00","47.00","-58.97","21,90,561","1,20,800.68","1,49,357","24,168.00"
"Index Options","NIFTY","23-Jun-2026","Put","24,050.00","60.30","-55.78","14,45,359","1,00,393.19","65,017","24,168.00"
"Index Options","NIFTY","23-Jun-2026","Put","23,900.00","28.20","-63.98","12,20,617","41,304.46","88,721","24,168.00"
"Index Options","NIFTY","23-Jun-2026","Put","23,800.00","16.60","-68.41","9,68,598","19,945.37","86,194","24,168.00"
"Index Options","NIFTY","23-Jun-2026","Put","24,150.00","98.05","-48.04","9,26,786","87,909.82","38,654","24,168.00"
"Index Options","NIFTY","23-Jun-2026","Put","24,200.00","122.75","-43.91","8,36,278","94,773.30","49,556","24,168.00"
"Index Options","NIFTY","23-Jun-2026","Put","23,000.00","2.25","-53.61","8,33,929","1,496.07","1,22,934","24,168.00"
"Index Options","NIFTY","23-Jun-2026","Put","23,700.00","10.45","-69.93","7,98,108","10,131.58","73,813","24,168.00"
"Index Options","NIFTY","23-Jun-2026","Put","23,500.00","5.10","-67.41","7,46,115","3,763.40","1,18,488","24,168.00"
"Index Options","NIFTY","23-Jun-2026","Put","23,950.00","36.30","-61.89","7,28,121","31,586.62","42,330","24,168.00"
"Index Options","NIFTY","23-Jun-2026","Put","23,600.00","7.05","-69.35","6,17,827","4,750.78","74,714","24,168.00"
"Index Options","NIFTY","23-Jun-2026","Put","23,850.00","21.45","-66.61","5,70,332","15,343.93","31,851","24,168.00"
"Index Options","NIFTY","23-Jun-2026","Put","23,300.00","3.30","-60.71","5,45,941","1,525.91","81,638","24,168.00"
"Index Options","NIFTY","23-Jun-2026","Put","23,400.00","4.30","-61.61","4,75,868","1,732.16","1,01,039","24,168.00"
"Index Options","NIFTY","23-Jun-2026","Put","23,200.00","2.75","-57.69","4,69,093","1,042.79","67,766","24,168.00"
"Index Options","NIFTY","23-Jun-2026","Put","23,750.00","13.10","-69.36","4,59,092","7,442.34","31,445","24,168.00"
"Index Options","NIFTY","23-Jun-2026","Put","23,650.00","8.65","-69.33","3,58,774","3,607.65","24,897","24,168.00"
"Index Options","NIFTY","23-Jun-2026","Put","22,900.00","2.05","-50.00","3,50,521","549.09","46,918","24,168.00"
"Index Options","NIFTY","23-Jun-2026","Put","23,100.00","2.55","-53.21","3,22,253","634.68","32,223","24,168.00"
