date,close
2026-07-17,13.15
2026-07-20,12.98
2026-07-21,12.6
2026-07-22,13.29
2026-07-23,13.48
2026-07-24,14.03
2026-07-27,12.66
2026-07-28,12.56
2026-07-29,12.01
2026-07-30,12.16
2026-07-31,11.76
2026-08-03,11.93
2026-08-04,12.19
2026-08-05,12.06
2026-08-06,12.16
2026-08-07,12.16
2026-08-10,12.25
2026-08-11,11.86
2026-08-12,11.69
2026-08-13,11.42
2026-08-14,11.31
2026-08-17,11.33
2026-08-18,11.39
2026-08-19,11.32
2026-08-20,10.76
2026-08-21,11.2
2026-08-24,11.53
2026-08-25,11.08
2026-08-26,10.57
2026-08-27,11.07
2026-08-28,10.68
2026-08-31,11.19
2026-09-01,11.49
2026-09-02,11.59
2026-09-03,11.34
2026-09-04,10.68
2026-09-07,11.16
2026-09-08,11.23
2026-09-09,11.92
2026-09-10,11.8
2026-09-11,12.29
