Time,Symbol,Side,Entry,Stop_Loss,Target,Risk_Pct,RVOL,Max_Gain_Pct,Max_Drawdown_Pct,Verdict,Realized_R
13:45,POWERINDIA,PE,31850.00,32041.10,31467.80,0.60,1.42,0.09,0.31,RETESTING,0.00
13:50,INDHOTEL,CE,718.50,714.19,727.12,0.60,8.64,0.24,0.11,RETESTING,0.00
14:00,360ONE,CE,1132.90,1126.10,1146.50,0.60,3.59,0.50,0.08,IN PROFIT,0.84
14:05,NAM-INDIA,CE,1186.00,1178.88,1200.24,0.60,2.45,0.84,0.07,IN PROFIT,1.26
14:05,TIINDIA,CE,2694.90,2678.73,2727.24,0.60,9.23,0.36,0.04,IN PROFIT,0.48
14:15,POLYCAB,CE,8224.50,8175.15,8323.20,0.60,1.45,0.03,0.13,RETESTING,0.00
14:20,AXISBANK,CE,1266.60,1259.00,1281.80,0.60,2.70,0.01,0.00,RETESTING,0.00
14:20,HCLTECH,CE,1269.80,1262.18,1285.04,0.60,3.74,0.02,0.00,RETESTING,0.00
14:20,UNOMINDA,CE,1241.30,1233.85,1256.20,0.60,2.21,0.00,0.04,RETESTING,0.00
14:25,COFORGE,CE,1932.30,1920.71,1955.48,0.60,1.72,0.14,0.19,RETESTING,0.00
14:25,LTM,CE,4450.80,4424.10,4504.20,0.60,1.41,0.09,0.31,RETESTING,0.00
14:30,TECHM,CE,1557.20,1547.86,1575.88,0.60,4.08,0.44,0.13,IN PROFIT,0.73
14:30,UNITDSPR,CE,1438.70,1430.07,1455.96,0.60,3.68,0.09,0.33,IN PROFIT,0.15
14:40,MCX,PE,3343.40,3363.46,3303.28,0.60,3.00,0.57,0.01,IN PROFIT,0.66
