Time,Symbol,Side,Entry,Stop_Loss,Target,Risk_Pct,RVOL,Max_Gain_Pct,Max_Drawdown_Pct,Verdict,Realized_R
09:30,DIVISLAB,CE,9195.00,9139.83,9305.34,0.60,1.93,1.31,0.18,TARGET HIT,2.00
09:30,GODREJCP,PE,868.50,873.80,857.90,0.61,1.63,1.24,0.38,TARGET HIT,2.00
09:30,LTM,PE,4459.60,4514.30,4350.20,1.23,1.52,1.22,0.04,IN PROFIT,0.21
09:30,MOTILALOFS,CE,1041.90,1033.00,1059.70,0.85,2.67,0.16,0.92,STOPPED OUT,-1.00
09:35,APLAPOLLO,PE,2227.00,2250.00,2181.00,1.03,2.70,1.27,0.53,IN PROFIT,0.98
09:35,PFC,CE,356.90,354.40,361.90,0.70,2.06,0.62,0.94,STOPPED OUT,-1.00
09:35,RADICO,PE,4472.50,4499.34,4418.82,0.60,1.53,0.59,0.53,IN PROFIT,0.75
09:35,TITAN,PE,4994.00,5023.96,4934.08,0.60,1.42,0.65,0.21,IN PROFIT,0.38
09:50,GODREJPROP,PE,1952.30,1965.00,1926.90,0.65,5.61,1.38,0.12,TARGET HIT,2.00
09:50,PRESTIGE,PE,1565.50,1574.89,1546.72,0.60,3.57,0.99,0.28,IN PROFIT,1.65
09:55,KAYNES,CE,3711.70,3661.60,3811.90,1.35,2.15,0.59,1.39,STOPPED OUT,-1.00
10:00,LT,CE,3986.50,3962.58,4034.34,0.60,2.42,0.43,0.52,RETESTING,0.00
10:00,SBIN,PE,1009.70,1017.00,995.10,0.72,9.53,0.90,0.01,IN PROFIT,0.53
10:05,DIXON,CE,14404.00,14307.00,14598.00,0.67,1.66,0.17,0.86,STOPPED OUT,-1.00
10:05,DMART,PE,3724.70,3747.05,3680.00,0.60,2.20,1.13,0.07,IN PROFIT,1.67
10:05,PIIND,PE,2443.50,2458.16,2414.18,0.60,5.22,0.63,0.48,IN PROFIT,0.63
10:15,COFORGE,PE,1938.50,1950.13,1915.24,0.60,1.55,0.02,0.67,STOPPED OUT,-1.00
10:20,APOLLOHOSP,CE,8709.50,8657.24,8814.02,0.60,3.30,1.44,0.34,TARGET HIT,2.00
10:20,FORCEMOT,CE,17715.00,17560.00,18025.00,0.87,5.93,1.31,0.14,IN PROFIT,0.74
10:25,UNITDSPR,PE,1455.90,1464.64,1438.42,0.60,2.37,1.27,0.07,TARGET HIT,2.00
10:30,BHARTIARTL,PE,1840.30,1851.34,1818.22,0.60,4.24,0.53,0.74,STOPPED OUT,-1.00
10:30,MANKIND,PE,2313.60,2328.60,2283.60,0.65,9.72,0.32,0.55,IN PROFIT,0.30
10:35,BOSCHLTD,CE,47425.00,47040.00,48195.00,0.81,5.57,2.01,0.20,TARGET HIT,2.00
10:35,LAURUSLABS,CE,1856.80,1845.60,1879.20,0.60,1.76,1.07,0.29,IN PROFIT,1.78
10:35,ZYDUSLIFE,CE,1134.50,1126.00,1151.50,0.75,6.03,2.35,0.11,TARGET HIT,2.00
10:40,GLENMARK,CE,2466.50,2451.00,2497.50,0.63,1.83,0.22,0.87,STOPPED OUT,-1.00
10:40,PFC,PE,353.70,355.82,349.46,0.60,1.87,0.17,0.45,RETESTING,0.00
10:45,POLICYBZR,PE,1830.90,1841.89,1808.92,0.60,16.10,1.65,0.01,TARGET HIT,2.00
10:55,KEI,PE,4732.50,4767.50,4662.50,0.74,1.89,1.15,0.16,IN PROFIT,0.81
10:55,PNBHOUSING,CE,1174.80,1167.75,1188.90,0.60,2.13,1.05,0.48,IN PROFIT,1.04
11:00,COCHINSHIP,PE,1510.60,1519.66,1492.48,0.60,1.88,0.17,0.61,STOPPED OUT,-1.00
11:00,DIXON,PE,14283.00,14380.00,14089.00,0.68,1.49,2.03,0.60,TARGET HIT,2.00
11:00,HAVELLS,PE,1146.30,1153.18,1132.54,0.60,2.11,0.36,0.26,RETESTING,0.00
11:00,HCLTECH,PE,1270.40,1278.02,1255.16,0.60,1.42,0.57,0.14,RETESTING,0.00
11:00,KALYANKJIL,PE,595.55,599.12,588.41,0.60,1.56,0.82,0.20,IN PROFIT,0.71
11:00,LICHSGFIN,PE,560.95,564.32,554.21,0.60,3.08,1.30,0.19,TARGET HIT,2.00
11:00,MPHASIS,PE,2354.10,2368.22,2325.86,0.60,1.63,0.57,0.64,STOPPED OUT,-1.00
11:00,OFSS,PE,11754.00,11849.00,11564.00,0.81,2.30,0.16,0.82,STOPPED OUT,-1.00
11:00,SBILIFE,PE,1751.50,1762.01,1730.48,0.60,8.50,1.29,0.11,TARGET HIT,2.00
11:00,TECHM,PE,1558.90,1568.25,1540.20,0.60,2.09,0.87,0.33,RETESTING,0.00
11:05,INDHOTEL,PE,712.95,717.23,704.39,0.60,2.55,0.50,0.99,STOPPED OUT,-1.00
11:10,360ONE,PE,1135.10,1141.91,1121.48,0.60,3.75,0.70,0.31,RETESTING,0.00
11:10,HINDZINC,PE,590.95,594.50,583.85,0.60,1.75,0.54,0.25,IN PROFIT,0.79
11:10,ICICIPRULI,PE,480.65,483.53,474.89,0.60,2.16,1.28,0.22,TARGET HIT,2.00
11:15,KPITTECH,PE,565.05,568.44,558.27,0.60,3.12,0.88,0.10,IN PROFIT,0.83
11:15,LODHA,PE,1209.40,1216.66,1194.88,0.60,2.97,0.44,0.57,RETESTING,0.00
11:20,BAJFINANCE,CE,1063.30,1056.92,1076.06,0.60,1.86,0.16,0.65,STOPPED OUT,-1.00
11:25,TCS,PE,2271.60,2285.23,2244.34,0.60,1.49,0.51,0.30,IN PROFIT,0.48
11:25,TIINDIA,PE,2684.70,2700.81,2652.48,0.60,1.81,0.10,0.74,STOPPED OUT,-1.00
11:25,TITAN,CE,5002.50,4972.48,5062.54,0.60,1.87,0.04,0.61,STOPPED OUT,-1.00
11:30,MARUTI,CE,12776.00,12690.00,12948.00,0.67,2.50,0.45,0.17,IN PROFIT,0.31
11:35,PIDILITIND,CE,1608.20,1598.55,1627.50,0.60,2.52,0.06,0.61,STOPPED OUT,-1.00
11:35,POLYCAB,PE,8190.00,8239.14,8091.72,0.60,1.74,0.17,0.67,STOPPED OUT,-1.00
11:35,SBICARD,CE,666.20,657.85,682.90,1.25,1.77,1.27,0.92,IN PROFIT,1.01
11:40,SUPREMEIND,CE,3588.00,3566.47,3631.06,0.60,2.40,0.33,0.50,IN PROFIT,0.46
11:40,TORNTPHARM,PE,4877.50,4906.77,4818.96,0.60,2.18,0.13,0.75,STOPPED OUT,-1.00
11:45,INFY,PE,1090.60,1097.14,1077.52,0.60,1.74,0.46,0.10,IN PROFIT,0.47
11:45,MUTHOOTFIN,CE,2914.50,2897.01,2949.48,0.60,2.19,0.19,0.63,STOPPED OUT,-1.00
11:45,SRF,CE,2550.70,2535.40,2581.30,0.60,2.01,0.15,0.47,RETESTING,0.00
12:00,APLAPOLLO,CE,2234.90,2207.00,2290.70,1.25,9.21,0.03,1.25,STOPPED OUT,-1.00
12:00,GVT&D,CE,4377.20,4350.94,4429.72,0.60,2.61,0.25,0.64,STOPPED OUT,-1.00
12:00,HDFCAMC,CE,2450.90,2436.19,2480.32,0.60,1.52,0.12,0.38,RETESTING,0.00
12:00,HDFCLIFE,PE,539.05,542.28,532.59,0.60,1.93,1.09,0.32,IN PROFIT,1.81
12:00,ICICIBANK,CE,1428.20,1419.63,1445.34,0.60,1.93,0.16,0.23,RETESTING,0.00
12:00,MCX,CE,3356.50,3330.40,3408.70,0.78,2.88,0.52,0.93,STOPPED OUT,-1.00
12:00,PIIND,CE,2450.50,2435.80,2479.90,0.60,9.96,0.20,0.64,STOPPED OUT,-1.00
12:05,BAJFINANCE,PE,1061.40,1067.77,1048.66,0.60,5.67,0.57,0.08,RETESTING,0.00
12:05,SONACOMS,CE,788.55,783.82,798.01,0.60,1.46,0.12,0.40,RETESTING,0.00
12:15,GODREJCP,CE,864.90,859.71,875.28,0.60,4.28,0.13,0.66,STOPPED OUT,-1.00
12:15,HAL,CE,4881.30,4852.01,4939.88,0.60,5.07,0.08,0.44,RETESTING,0.00
12:15,NAUKRI,PE,1289.20,1296.94,1273.72,0.60,4.08,0.37,0.39,RETESTING,0.00
12:20,HYUNDAI,CE,2210.90,2197.63,2237.44,0.60,9.25,0.62,0.52,IN PROFIT,0.12
12:20,MFSL,PE,1524.70,1533.85,1506.40,0.60,1.57,0.64,0.30,IN PROFIT,0.51
12:20,SOLARINDS,CE,22075.00,21942.55,22339.90,0.60,4.82,0.09,0.61,STOPPED OUT,-1.00
12:25,AXISBANK,PE,1264.80,1272.39,1249.62,0.60,2.71,0.21,0.16,RETESTING,0.00
12:40,KAYNES,PE,3615.00,3641.70,3561.60,0.74,2.23,0.80,0.06,RETESTING,0.00
12:40,PRESTIGE,CE,1565.20,1555.81,1583.98,0.60,3.70,0.10,0.97,STOPPED OUT,-1.00
12:55,MOTILALOFS,PE,1050.80,1057.10,1038.20,0.60,2.21,0.36,0.77,STOPPED OUT,-1.00
12:55,SRF,PE,2546.90,2562.18,2516.34,0.60,1.83,0.33,0.00,IN PROFIT,0.48
13:00,PIDILITIND,PE,1593.50,1603.06,1574.38,0.60,2.04,1.16,0.09,IN PROFIT,1.94
13:00,SUPREMEIND,PE,3571.50,3592.93,3528.64,0.60,3.57,0.04,0.64,STOPPED OUT,-1.00
13:10,SOLARINDS,PE,21880.00,22020.00,21600.00,0.64,2.52,0.64,0.32,RETESTING,0.00
13:15,HDFCAMC,PE,2443.00,2457.66,2413.68,0.60,2.77,0.00,0.29,RETESTING,0.00
13:15,MUTHOOTFIN,PE,2896.40,2913.78,2861.64,0.60,2.25,0.57,0.22,IN PROFIT,0.94
13:20,BSE,CE,3434.30,3413.69,3475.52,0.60,1.97,0.82,0.03,IN PROFIT,0.58
13:20,HYUNDAI,PE,2201.20,2214.41,2174.78,0.60,2.85,0.09,0.58,STOPPED OUT,-0.86
13:35,ATHERENERG,PE,1587.40,1596.92,1568.36,0.60,2.55,0.08,0.88,STOPPED OUT,-1.00
13:45,ATHERENERG,CE,1598.10,1586.10,1622.10,0.75,3.19,0.85,0.31,IN PROFIT,0.17
13:45,BHARTIARTL,CE,1844.90,1833.83,1867.04,0.60,1.68,0.49,0.05,IN PROFIT,0.82
13:45,POLICYBZR,CE,1789.50,1775.60,1817.30,0.78,1.90,0.40,0.47,IN PROFIT,0.18
